Clause,Reference,Title,Description,Initial Assessment Points,Findings,Status
Chapter 1: General Provisions,Article 1,Legal foundation,"This article provides the legal foundation for regulating deep synthesis technologies, referencing the Cybersecurity Law, Data Security Law, and Personal Information Protection Law. It emphasizes the state's intent to regulate emerging AI technologies through established legal mechanisms and support societal stability and public interest.",1. Has the service provider aligned operations with cybersecurity and data laws?,,
Chapter 1: General Provisions,Article 2,Definition of Deep Synthesis,"The term 'deep synthesis' is broadly defined to encompass technologies that use deep learning, virtual reality, or other generation algorithms to create or manipulate content such as text, images, audio, video, or virtual environments. This includes technologies like face swapping, voice cloning, virtual characters, and AI-generated media.","1. Are algorithms tested for safety, transparency, and control?",,
Chapter 1: General Provisions,Article 3,Scope of applicability,"This article clarifies the applicability of the provisions to organizations and individuals that offer services or develop products using deep synthesis technology for public use. It includes both developers and distributors who provide models, platforms, or tools accessed via the internet.",1. Is the provider offering deep synthesis services to the public in China?,,
Chapter 1: General Provisions,Article 4,Guiding principles,"The article mandates that the development and application of deep synthesis technology must follow the principles of legality, transparency, and security. It highlights the importance of protecting national interests, public security, and upholding public order, while ensuring transparency in how AI models operate and generate outputs.","1. Has the provider implemented policies for legality, transparency, and security?",,
Chapter 1: General Provisions,Article 5,Encouraged uses,"The state encourages the innovation and lawful use of deep synthesis technologies in fields such as education, healthcare, science, and economic development. It promotes the creation of applications that align with socialist core values and contribute positively to societal well-being and development.",1. Is the service used in a manner aligned with socialist core values?,,
Chapter 2: Development and Use of Technology,Article 6,Prohibition of harmful use,"It prohibits the use of deep synthesis technologies for activities that endanger national security, promote terrorism, disrupt the economy, spread rumors, or infringe on others’ rights. This provision serves as a safeguard against politically or socially destabilizing uses of generative AI.",1. Has the provider assessed and mitigated national security risks of the technology?,,
Chapter 2: Development and Use of Technology,Article 7,Operational responsibilities,"Service providers are required to establish operational procedures and technical mechanisms for content review, user identity authentication, emergency incident handling, and algorithm transparency. These systems aim to prevent the misuse or abuse of deep synthesis tools and ensure responsible AI service delivery.","1. Are content moderation systems in place and actively monitored?
2. Are algorithms tested for safety, transparency, and control?",,
Chapter 2: Development and Use of Technology,Article 8,Algorithm control,"This article mandates that deep synthesis algorithms must be secure, controllable, and transparent. Providers must implement safeguards to prevent manipulation or misinformation and ensure that the models do not produce harmful or unpredictable outputs.","1. Are algorithms tested for safety, transparency, and control?",,
Chapter 2: Development and Use of Technology,Article 9,Fairness & non-discrimination,"Developers and service providers must ensure their technologies do not contain or reinforce discrimination based on race, ethnicity, gender, region, or other protected characteristics. Algorithmic fairness and equity are key requirements in the design and deployment of deep synthesis systems.","1. Are algorithms tested for safety, transparency, and control?
2. Are the models audited for demographic bias?",,
Chapter 2: Development and Use of Technology,Article 10,Privacy protection,"Strong data protection practices must be enforced, especially regarding biometric information such as faces and voices. Deep synthesis providers must refrain from collecting or processing personal data without user consent and must implement security measures to avoid leaks or misuse.","1. Are there safeguards for biometric data and personal information?
2. Is explicit user consent obtained before using voice or image data?",,
